,Fecha,PM10,PM2.5,SO2,NO2,O3
0,2025-03-16,26.08478261,19.9273913,0.91434783,30.56782609,39.22304348
1,2025-03-15,35.63666667,24.4925,0.31041667,35.01541667,33.41208333
2,2025-03-14,42.50333333,28.2925,0.47875,45.48541667,27.73833333
3,2025-03-13,31.29083333,21.51,0.45666667,30.17733333,33.01458333
4,2025-03-12,24.94916667,17.46541667,0.7625,,35.92791667
5,2025-03-11,36.86958333,25.59666667,0.43125,,40.06434783
6,2025-03-10,32.01416667,21.88833333,0.50791667,,37.305
7,2025-03-09,30.2475,19.16666667,1.05208333,,37.59416667
8,2025-03-08,29.23833333,15.98375,1.0275,,30.47857143
9,2025-03-07,22.62833333,13.80166667,1.34956522,26.74705882,22.0
10,2025-03-06,24.5025,16.09208333,0.32333333,26.77666667,30.90166667
11,2025-03-05,28.60625,18.13708333,0.44291667,29.07208333,33.69125
12,2025-03-04,26.37208333,16.44791667,0.535,29.065,32.6225
13,2025-03-03,27.51375,16.89958333,0.44666667,26.12541667,37.01583333
14,2025-03-02,25.89291667,16.60666667,0.31916667,25.31583333,39.13
15,2025-03-01,28.54791667,16.33583333,0.56875,26.63666667,39.47083333
16,2025-02-28,23.36291667,14.6025,0.55208333,22.11208333,42.32166667
17,2025-02-27,18.77166667,12.19541667,1.36333333,23.475,39.96125
18,2025-02-26,15.47208333,8.80666667,0.30173913,23.97458333,33.57
19,2025-02-25,13.1525,6.72666667,0.915,27.26409091,26.31
20,2025-02-24,20.08041667,10.97833333,0.74583333,26.675,26.32208333
21,2025-02-23,21.80583333,14.03791667,0.84791667,25.50416667,22.51166667
22,2025-02-22,27.75416667,16.86625,1.00666667,31.04416667,22.01291667
23,2025-02-21,23.41333333,14.82208333,0.93291667,31.49416667,25.98916667
24,2025-02-20,31.45916667,15.48625,0.39666667,26.54083333,42.50875
25,2025-02-19,28.63833333,17.86333333,0.6525,29.22166667,37.22833333
26,2025-02-18,24.02333333,15.75708333,0.28458333,24.68708333,40.49625
27,2025-02-17,19.29583333,12.5625,1.12291667,24.20416667,49.90916667
28,2025-02-16,19.21958333,13.33833333,0.72791667,21.56916667,44.25208333
29,2025-02-15,16.99833333,12.35125,0.49333333,32.12708333,29.86125
30,2025-02-14,17.41208333,13.13208333,1.02166667,36.25,33.53666667
31,2025-02-13,24.9525,15.93083333,1.39545455,25.63181818,51.94291667
32,2025-02-12,26.66125,15.52458333,1.26625,29.55041667,43.15
33,2025-02-11,20.00041667,11.80208333,0.32956522,25.58181818,31.11708333
34,2025-02-10,19.41583333,13.43958333,0.62368421,35.39,26.04818182
35,2025-02-09,20.11166667,14.68666667,0.53772727,24.67272727,37.18043478
36,2025-02-08,21.50416667,15.17541667,0.48470588,27.99235294,40.271
37,2025-02-07,29.185,19.11958333,0.51333333,29.23833333,42.955
38,2025-02-06,30.71041667,19.06625,1.10916667,28.375,45.3375
39,2025-02-05,28.62,18.06791667,0.50375,24.655,46.33625
40,2025-02-04,30.30458333,17.14,2.34958333,26.82916667,51.43041667
41,2025-02-03,31.46833333,18.61291667,2.98083333,33.35541667,37.75041667
42,2025-02-02,25.73086957,16.63913043,0.76782609,21.77434783,49.24
43,2025-02-01,27.06791667,16.30458333,1.59166667,34.54708333,41.16875
44,2025-01-31,27.40791667,16.32625,1.32125,44.52666667,29.3575
45,2025-01-30,25.11125,15.8575,1.17541667,39.10083333,26.80375
46,2025-01-29,27.18208333,17.36625,3.08541667,30.9915,31.65375
47,2025-01-28,27.99166667,16.57416667,1.81090909,40.31875,25.38208333
48,2025-01-27,25.86291667,15.66583333,0.81416667,33.57333333,33.42875
49,2025-01-26,25.82541667,17.37916667,1.26666667,26.33541667,34.90041667
50,2025-01-25,31.31291667,18.64583333,1.04083333,38.97375,33.36958333
51,2025-01-24,30.76583333,17.89541667,1.68666667,43.62916667,38.55
52,2025-01-23,28.36833333,16.35625,0.96541667,41.695,36.55708333
53,2025-01-22,26.31041667,14.615,0.68208333,39.30708333,35.51875
54,2025-01-21,25.75291667,14.71125,0.94791667,39.5025,29.36458333
55,2025-01-20,26.89333333,14.8475,1.48652174,38.4873913,30.75958333
56,2025-01-19,20.44666667,11.95833333,0.94521739,27.82090909,35.55416667
57,2025-01-18,21.4175,11.38041667,1.1625,35.9825,30.96875
58,2025-01-17,22.73708333,12.38041667,1.88454545,39.74095238,26.71521739
59,2025-01-16,20.56833333,11.16625,1.0852381,33.78285714,30.20916667
60,2025-01-15,24.13333333,13.45291667,1.45416667,35.2625,28.75416667
61,2025-01-14,22.64458333,13.73791667,0.75875,35.08625,29.72041667
62,2025-01-13,22.21208333,13.46708333,2.55818182,33.34,21.93083333
63,2025-01-12,20.20666667,13.40916667,0.38041667,,31.1725
64,2025-01-11,22.09208333,13.33708333,0.48458333,39.88473684,39.11666667
65,2025-01-10,19.57833333,12.20125,0.55083333,21.83833333,38.78916667
66,2025-01-09,18.43533333,10.636,0.26,24.26375,42.873125
67,2025-01-07,14.51764706,6.92764706,0.4,,23.440625
68,2025-01-06,10.32875,5.57166667,0.26285714,,20.98318182
69,2025-01-05,10.20416667,6.94083333,0.71142857,,24.15285714
70,2025-01-04,17.1975,9.39208333,0.63583333,,21.27583333
71,2025-01-03,15.70291667,9.57291667,0.56217391,,16.43869565
72,2025-01-02,16.05708333,10.23458333,0.26,,20.43583333
73,2025-01-01,20.02416667,15.05041667,0.30809524,,29.2747619
74,2024-12-31,13.63478261,8.2,0.27954545,15.99227273,32.03909091
75,2024-12-30,12.03041667,7.15583333,0.28181818,21.27125,24.44304348
76,2024-12-29,12.59958333,7.04791667,1.3525,19.81166667,23.70458333
77,2024-12-28,15.47125,9.04708333,0.43541667,23.84541667,24.59416667
78,2024-12-27,11.84416667,6.95791667,0.81083333,23.42708333,24.49833333
79,2024-12-26,17.325,9.34625,0.32681818,26.18041667,22.21041667
80,2024-12-25,14.63208333,10.2575,0.64875,17.5275,26.60375
81,2024-12-24,12.12166667,7.49541667,1.21625,18.33666667,34.0075
82,2024-12-23,15.89125,10.22,0.46,24.515,23.89458333
